q,d(q)
0,0.0529192
1,0.0529688
2,0.0542336
3,0.0553289
4,0.0555536
5,0.0565624
6,0.0566369
7,0.0571156
8,0.0571165
9,0.0575099
10,0.0575552
11,0.0576429
12,0.0581479
13,0.0587438
14,0.0590155
15,0.0591225
16,0.0593234
17,0.0593349
18,0.059464
19,0.0595078
20,0.0595285
21,0.0595886
22,0.0596474
23,0.060035
24,0.0605644
25,0.0605747
26,0.0606358
27,0.0607802
28,0.0607974
29,0.0608061
30,0.0608545
31,0.0608855
32,0.0609706
33,0.061154
34,0.0611974
35,0.0612402
36,0.0612764
37,0.0613705
38,0.0613795
39,0.0614507
40,0.0614978
41,0.0615222
42,0.0615427
43,0.0616326
44,0.0617312
45,0.0617594
46,0.0617892
47,0.0618436
48,0.0618763
49,0.0618897
50,0.0619127
51,0.0620677
52,0.0620882
53,0.0621038
54,0.0621269
55,0.0622011
56,0.0623408
57,0.0625829
58,0.0626449
59,0.0626724
60,0.062682
61,0.0627327
62,0.0627377
63,0.0628375
64,0.0628551
65,0.0629131
66,0.0629547
67,0.063045
68,0.0631612
69,0.0634029
70,0.0634859
71,0.0635936
72,0.0637407
73,0.0637495
74,0.0637843
75,0.0638613
76,0.0638866
77,0.0638921
78,0.0640829
79,0.064124
80,0.0643295
81,0.0644409
82,0.0644409
83,0.064521
84,0.0645415
85,0.0645756
86,0.0645985
87,0.0646485
88,0.0646503
89,0.0649215
90,0.0649854
91,0.0650059
92,0.0650266
93,0.0650902
94,0.065162
95,0.0651639
96,0.0651711
97,0.0652804
98,0.0653133
99,0.0653614
100,0.0653652
101,0.0653957
102,0.0654055
103,0.0654115
104,0.0654946
105,0.0655358
106,0.0656349
107,0.0656558
108,0.0656739
109,0.0656969
110,0.0656971
111,0.0657566
112,0.0658274
113,0.0658461
114,0.065848
115,0.0659504
116,0.0660241
117,0.0660753
118,0.0661477
119,0.0661571
120,0.0662426
121,0.0663166
122,0.0663239
123,0.066369
124,0.0664087
125,0.0664277
126,0.066429
127,0.0664519
128,0.0665213
129,0.0665436
130,0.0666015
131,0.0666353
132,0.0666726
133,0.0666891
134,0.0666965
135,0.066724
136,0.0667599
137,0.0667645
138,0.0668081
139,0.0669115
140,0.0669354
141,0.0669422
142,0.0669485
143,0.0669578
144,0.0670051
145,0.06703
146,0.0670361
147,0.0670912
148,0.0670919
149,0.0671209
150,0.067133
151,0.067187
152,0.0672058
153,0.0672105
154,0.0672859
155,0.0673012
156,0.067341
157,0.067356
158,0.0673635
159,0.0674672
160,0.0674939
161,0.0675371
162,0.0675672
163,0.0676449
164,0.0677141
165,0.0677899
166,0.067841
167,0.0678694
168,0.0678996
169,0.0679213
170,0.0679342
171,0.0679782
172,0.0680368
173,0.0680834
174,0.0680868
175,0.0681062
176,0.0681341
177,0.0681507
178,0.0681605
179,0.0682555
180,0.0683425
181,0.0683647
182,0.0683671
183,0.068375
184,0.068381
185,0.068385
186,0.0683976
187,0.0684083
188,0.0684457
189,0.068501
190,0.068501
191,0.0685149
192,0.0685635
193,0.0685808
194,0.0686146
195,0.0686649
196,0.0687143
197,0.0687186
198,0.0687675
199,0.0687867
200,0.0687967
201,0.0689164
202,0.0689466
203,0.0689466
204,0.0689656
205,0.0689848
206,0.0690051
207,0.0690413
208,0.0690601
209,0.0690819
210,0.069104
211,0.0691565
212,0.0691716
213,0.0692271
214,0.069257
215,0.069257
216,0.0692808
217,0.0693136
218,0.0693169
219,0.0693895
220,0.0693943
221,0.0693983
222,0.0694761
223,0.0695091
224,0.0695115
225,0.0695224
226,0.0695701
227,0.0695802
228,0.069594
229,0.0695967
230,0.0696651
231,0.0697012
232,0.0697075
233,0.0697823
234,0.0697833
235,0.0697835
236,0.069879
237,0.0699457
238,0.0699491
239,0.0699544
240,0.0700665
241,0.0700884
242,0.0702057
243,0.070223
244,0.0702604
245,0.0702615
246,0.0702871
247,0.070399
248,0.0704072
249,0.0704495
250,0.0704917
251,0.0705186
252,0.0705226
253,0.0705384
254,0.0706046
255,0.0706226
256,0.0706226
257,0.0706885
258,0.0707008
259,0.0707182
260,0.0707363
261,0.0707363
262,0.0707635
263,0.0708336
264,0.0708336
265,0.0708494
266,0.0708723
267,0.0709048
268,0.0709507
269,0.0709627
270,0.0709786
271,0.0710014
272,0.0710452
273,0.0710618
274,0.0711149
275,0.0711285
276,0.0711373
277,0.0711759
278,0.0711759
279,0.0712157
280,0.0712306
281,0.0712321
282,0.0712697
283,0.0712835
284,0.0712862
285,0.0713155
286,0.0713159
287,0.0713315
288,0.0713586
289,0.0713747
290,0.0713872
291,0.0713921
292,0.0713955
293,0.0714168
294,0.0714244
295,0.0714251
296,0.0714251
297,0.0714716
298,0.0715248
299,0.0715314
300,0.071532
301,0.0715628
302,0.071626
303,0.0716497
304,0.0716762
305,0.0717611
306,0.0717647
307,0.0717884
308,0.0718193
309,0.0718907
310,0.0718985
311,0.0719192
312,0.0719192
313,0.0719402
314,0.0719528
315,0.0719675
316,0.0719972
317,0.0720319
318,0.0720671
319,0.0720773
320,0.0720803
321,0.0721589
322,0.0721745
323,0.0721847
324,0.0721852
325,0.0722107
326,0.0722823
327,0.0722947
328,0.0722947
329,0.0722975
330,0.0723325
331,0.0723681
332,0.0723715
333,0.0723833
334,0.0724334
335,0.0724418
336,0.0725125
337,0.0725201
338,0.0725977
339,0.0726253
340,0.0726409
341,0.0726422
342,0.0726435
343,0.0726445
344,0.0727424
345,0.0728214
346,0.0728278
347,0.0728735
348,0.0728814
349,0.0728814
350,0.0728994
351,0.0728994
352,0.0729052
353,0.0729289
354,0.0729386
355,0.0729434
356,0.0729452
357,0.0729603
358,0.0729652
359,0.0729907
360,0.0730254
361,0.0730272
362,0.0730485
363,0.0730654
364,0.0730719
365,0.0730907
366,0.0731527
367,0.0731974
368,0.0732238
369,0.0732309
370,0.0732479
371,0.0732737
372,0.0732822
373,0.0733025
374,0.0733448
375,0.0733474
376,0.0734144
377,0.0734281
378,0.0734755
379,0.0734786
380,0.0735016
381,0.0735322
382,0.0736627
383,0.0736693
384,0.0736759
385,0.0737094
386,0.0737697
387,0.0737697
388,0.0737757
389,0.0738013
390,0.0738013
391,0.0738762
392,0.0738819
393,0.0738887
394,0.0738911
395,0.0738952
396,0.0738998
397,0.0739278
398,0.0739964
399,0.0740512
400,0.0740837
401,0.0740899
402,0.0741009
403,0.0741046
404,0.0741432
405,0.0741711
406,0.0741711
407,0.0741867
408,0.0742514
409,0.0742632
410,0.0743087
411,0.0743087
412,0.0743321
413,0.0743584
414,0.0743782
415,0.0744553
416,0.0744802
417,0.0744909
418,0.074491
419,0.0745418
420,0.0745516
421,0.0745548
422,0.0745595
423,0.0745598
424,0.0746684
425,0.0747214
426,0.0748869
427,0.0748944
428,0.0749123
429,0.0749162
430,0.0749527
431,0.0750266
432,0.0750605
433,0.0750783
434,0.075098
435,0.0751625
436,0.0752195
437,0.0752373
438,0.0753221
439,0.0753273
440,0.0753284
441,0.075336
442,0.0753396
443,0.075371
444,0.0753843
445,0.0753944
446,0.0754166
447,0.0754545
448,0.0755079
449,0.0755079
450,0.0755372
451,0.07557
452,0.0755932
453,0.0756182
454,0.0756715
455,0.0757141
456,0.0757176
457,0.075782
458,0.075827
459,0.0759612
460,0.0760375
461,0.0760578
462,0.0761002
463,0.076114
464,0.0761421
465,0.0761863
466,0.0762368
467,0.0762386
