x y color
0.0129285 0.0991608 1
0.015825 0.0996522 1
-0.0128732 0.100985 1
0.00513166 0.102574 1
0.0220923 0.101221 1
-0.00365134 0.104441 1
-0.0122474 0.104691 1
-0.0118673 0.105642 1
0.00988435 0.106751 1
0.00214388 0.108087 1
-0.0121235 0.108333 1
-0.0238456 0.107292 1
-0.0360545 0.104781 1
0.0384953 0.10487 1
0.0319394 0.107988 1
-0.0130195 0.112764 1
0.00268282 0.114383 1
0.0235062 0.112894 1
0.0511043 0.104377 1
0.0029191 0.117081 1
0.0485528 0.107568 1
-0.00972247 0.118521 1
-0.0147204 0.118912 1
0.0290478 0.117174 1
0.0218124 0.11965 1
0.029076 0.119022 1
0.0649682 0.10494 1
0.00669995 0.124144 1
0.0327564 0.120865 1
0.0374956 0.120424 1
-0.0103836 0.126602 1
0.0525477 0.116637 1
-0.00313163 0.128791 1
0.046077 0.121271 1
0.026903 0.12783 1
0.029504 0.12818 1
0.0289408 0.129231 1
0.058019 0.120048 1
0.0346133 0.129695 1
0.0243065 0.132931 1
0.0575267 0.123274 1
0.021862 0.135181 1
-0.00966197 0.137499 1
0.0639939 0.123098 1
0.0275011 0.136905 1
-0.0227417 0.138688 1
0.0163383 0.140495 1
-0.0369188 0.137471 1
0.0551273 0.13221 1
0.0144544 0.143418 1
0.0582577 0.132831 1
0.00331942 0.145908 1
-0.0139131 0.146186 1
0.00385413 0.147697 1
0.0177378 0.147587 1
0.070852 0.131701 1
0.0192754 0.149211 1
0.0381471 0.146465 1
0.0712465 0.134554 1
0.0453385 0.146288 1
0.0066732 0.153909 1
0.0881788 0.127419 1
0.0767854 0.135628 1
0.0473559 0.149433 1
0.0992748 0.122476 1
0.0667737 0.143813 1
0.0154384 0.15871 1
0.0202475 0.159077 1
-0.0048467 0.161188 1
0.0672861 0.147544 1
0.0516362 0.154671 1
0.0119121 0.163531 1
0.101997 0.129527 1
0.0714991 0.149553 1
0.0855164 0.143055 1
0.0351491 0.16384 1
0.0855687 0.145119 1
-0.071714 0.153438 1
0.0426077 0.164853 1
0.0155707 0.170462 1
0.0802539 0.152211 1
0.0960898 0.143828 1
0.0432911 0.168398 1
0.0762798 0.15725 1
0.081499 0.155627 1
0.0997464 0.145705 1
0.043089 0.172167 1
0.0420376 0.173354 1
